School Number,School Name,Lattitude,Longitude
1352,CASEY MIDDLE SCHOOL,40.022491,-105.280015
1362,CASTLE ROCK ELEMENTARY SCHOOL,39.380991,-104.848868
1367,CASTLE VIEW HIGH SCHOOL,39.410569,-104.895583
1368,CENTER VIRTUAL ACADEMY,37.7509,-106.114901
1372,CEDAREDGE HIGH SCHOOL,38.89438,-107.920586
1375,CEDAREDGE MIDDLE SCHOOL,38.89136,-107.921382
1376,SCHOLARS TO LEADERS ACADEMY,38.876006,-104.801086
1377,CEDAR RIDGE ELEMENTARY SCHOOL,38.307817,-104.80266
1378,CENTAURI HIGH SCHOOL,37.23997,-105.970419
1380,CENTAURUS HIGH SCHOOL,39.986817,-105.08564
1382,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,39.61695,-105.028263
1383,CENTENNIAL ELEMENTARY SCHOOL,38.805587,-104.760921
1384,CENTENNIAL ELEMENTARY SCHOOL,40.377402,-104.700614
1385,CENTENNIAL ELEMENTARY SCHOOL,40.429053,-105.098832
1386,TRINIDAD MIDDLE SCHOOL,37.1716,-104.515124
1388,CENTENNIAL ELEMENTARY SCHOOL,39.932427,-105.026675
1390,CENTENNIAL MIDDLE SCHOOL,40.044312,-105.268438
1392,CENTENNIAL MIDDLE SCHOOL,38.48072,-107.865018
1396,CENTENNIAL JUNIOR HIGH SCHOOL,37.205719,-105.425052
1398,CENTENNIAL HIGH SCHOOL,37.205719,-105.425052
1400,CENTENNIAL K-8 SCHOOL,39.781359,-105.041603
1402,CENTENNIAL HIGH SCHOOL,38.303263,-104.638479
1412,HASKIN ELEMENTARY SCHOOL,37.7509,-106.114901
1416,SKOGLUND MIDDLE SCHOOL,37.7509,-106.114901
1420,CENTER HIGH SCHOOL,37.7509,-106.114901
1426,CENTRAL ELEMENTARY SCHOOL,39.813716,-104.922188
1434,CENTRAL ELEMENTARY SCHOOL,40.165728,-105.108984
1438,BEAVER VALLEY ELEMENTARY SCHOOL,40.260077,-103.651886
1446,WELD CENTRAL SENIOR HIGH SCHOOL,40.068309,-104.508584
1450,CENTRAL HIGH SCHOOL,39.084538,-108.472054
1454,CENTRAL HIGH SCHOOL,38.253561,-104.625959
1458,AURORA CENTRAL HIGH SCHOOL,39.732902,-104.851383
1470,CENTURY ELEMENTARY SCHOOL,39.672013,-104.810864
1480,CENTURY MIDDLE SCHOOL,39.931458,-104.968552
1488,CESAR CHAVEZ ACADEMY,38.283532,-104.648758
1490,CHAMBERLIN ACADEMY,38.798107,-104.808739
1500,CHAPPELOW K-8 MAGNET SCHOOL,40.381158,-104.708633
1503,CHAPARRAL HIGH SCHOOL,39.539024,-104.807998
1504,GOODNIGHT ELEMENTARY SCHOOL,38.256095,-104.671386
1510,CHALLENGE SCHOOL,39.696607,-104.875754
1512,CHALLENGE TO EXCELLENCE CHARTER SCHOOL,39.545699,-104.791027
1514,CHARLES HAY WORLD SCHOOL,39.65884,-104.971214
1519,STARGATE CHARTER SCHOOL,39.934038,-104.940784
1520,CHATFIELD ELEMENTARY SCHOOL,39.070108,-108.461085
1522,CHATFIELD HIGH SCHOOL,39.586154,-105.129055
1528,CHELTENHAM ELEMENTARY SCHOOL,39.742247,-105.031481
1538,CHERAW ELEMENTARY SCHOOL,38.109064,-103.509308
1546,CHERAW HIGH SCHOOL,38.109064,-103.509308
1548,CHERAW MIDDLE SCHOOL,38.109064,-103.509308
1551,CHEROKEE TRAIL HIGH SCHOOL,39.588346,-104.689264
1555,CLOVERLEAF HOME EDUCATION,39.418874,-104.868407
1556,CHERRELYN ELEMENTARY SCHOOL,39.63473,-104.986603
1566,CAMPUS MIDDLE SCHOOL,39.629558,-104.875906
1568,WEST MIDDLE SCHOOL,39.623556,-104.922847
1570,CHERRY CREEK HIGH SCHOOL,39.631352,-104.880441
1571,CHERRY CREEK CHARTER ACADEMY,39.603035,-104.876112
1572,HIGH PLAINS ELEMENTARY SCHOOL,39.605643,-104.871416
1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,39.637537,-104.959462
